fecha,id_opinion,id_cliente,opinion
2022-01-01,123456789,1,"Compré el celular XYZ y estoy muy satisfecho/a con la calidad de la cámara y de la pantalla. El diseño es moderno y elegante. La batería dura bastante tiempo y el rendimiento es excelente. ¡Lo recomiendo!"
2022-01-02,234567890,2,"Compré la laptop ABC y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-03,345678901,3,"Compré el auricular DEF y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-04,456789012,4,"Compré la tablet GHI y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-05,567890123,5,"Compré el celular JKL y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-06,678901234,6,"Compré la laptop MNO y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-07,789012345,7,"Compré el auricular PQR y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-01-08,890123456,8,"Compré la tablet STU y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-09,901234567,9,"Compré el celular VWX y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-10,123456780,10,"Compré la laptop YZA y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-11,234567891,11,"Compré el auricular BCD y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-01-12,345678902,12,"Compré la tablet DEF y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-13,456789013,13,"Compré el celular GHI y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-14,567890124,14,"Compré la laptop JKL y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-15,678901235,15,"Compré el auricular MNO y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-01-16,789012346,16,"Compré la tablet PQR y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-17,890123457,17,"Compré el celular STU y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-18,901234568,18,"Compré la laptop VWX y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-19,123456791,19,"Compré el auricular YZA y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-01-20,234567902,20,"Compré la tablet BCD y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-21,345678913,21,"Compré el celular DEF y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-22,456789024,22,"Compré la laptop GHI y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-23,567890135,23,"Compré el auricular JKL y estoy muy satisfecho con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-01-24,678901246,24,"Compré la tablet MNO y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-25,789012357,25,"Compré el celular PQR y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-26,890123468,26,"Compré la laptop STU y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-27,901234579,27,"Compré el auricular VWX y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-01-28,123456792,28,"Compré la tablet YZA y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-29,234567903,29,"Compré el celular BCD y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-01-30,345678914,30,"Compré la laptop DEF y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-01-31,456789025,31,"Compré el auricular GHI y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-02-01,567890136,32,"Compré la tablet JKL y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-02-02,678901247,33,"Compré el celular MNO y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-02-03,789012358,34,"Compré la laptop PQR y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-02-04,890123469,35,"Compré el auricular STU y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-02-05,901234580,36,"Compré la tablet VWX y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-02-06,123456793,37,"Compré el celular YZA y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-02-07,234567904,38,"Compré la laptop BCD y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-02-08,345678915,39,"Compré el auricular DEF y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-02-09,456789026,40,"Compré la tablet GHI y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-02-10,567890137,41,"Compré el celular JKL y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-02-11,678901248,42,"Compré la laptop MNO y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-02-12,789012359,43,"Compré el auricular PQR y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-02-13,890123470,44,"Compré la tablet STU y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-02-14,901234581,45,"Compré el celular VWX y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-02-15,123456794,46,"Compré la laptop YZA y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-02-16,234567905,47,"Compré el auricular BCD y estoy muy satisfecho/a con la calidad del sonido. Es nítido y potente. El diseño es moderno y cómodo. ¡Lo recomiendo!"
2022-02-17,345678916,48,"Compré la tablet DEF y estoy muy insatisfecho/a con la calidad de la pantalla. Los colores son débiles y la resolución es baja. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
2022-02-18,456789027,49,"Compré el celular GHI y estoy neutral respecto al producto. La calidad de la cámara es buena, pero el diseño es demasiado simple. El precio es justo, aunque existen opciones mejores en el mercado."
2022-02-19,567890138,50,"Compré la laptop JKL y estoy muy insatisfecho/a con la calidad de la batería. Dura muy poco tiempo y tarda mucho en cargarse. Además, el rendimiento es lento y se traba con frecuencia. ¡No la recomiendo!"
